bootstrap_sample,total_net_profit_model_minus_random,mean_equal_capital_roi_model_minus_random,total_equal_capital_net_profit_model_minus_random
480,65483.66452115262,1.9433893392055595,-3431.9726674785743
481,115615.7151449309,2.216750682275392,6504.666402658138
482,376305.1413852904,-1.148819306889262,31840.46239215296
483,340363.3052265569,5.388180834516937,33477.68343135154
484,215240.42841760296,4.232820216433868,-334.0766539090473
485,274168.5021806754,1.7606404667177227,17605.989561928727
486,587986.4959130284,-0.20039415530122984,53957.511604885214
487,93266.45360349247,-0.5109164776054138,16095.208373583602
488,115694.16736036557,-0.7454699961952471,19580.551919766436
489,143066.695943569,0.020541811446459057,18999.313225224312
490,108562.09041713079,0.9965078897045094,-9006.573136229777
491,234399.82029974347,2.4624948628684153,20722.986515564764
492,419639.4414566865,0.9738167974333933,38489.81267636929
493,406573.861850117,1.1558182438223037,38924.95737267676
494,366573.1162226338,-0.5825051209232113,35393.18826662775
495,52943.525115761644,5.088597944647043,8340.555356572295
496,443513.7229553246,1.7737084462688077,44035.53945112917
497,677787.4838805879,2.0693874984961598,60393.38556257494
498,501227.6341050477,3.184957462588552,47415.45100561725
499,196598.256683006,1.727742249683514,16859.23743428112
500,106887.67120877202,0.41500261900403945,-12243.98802538052
501,374094.20760068094,1.5682782200124121,39066.28963396356
502,467222.7590240955,1.6675141658109687,44347.108652624505
503,337677.1786950724,4.922273713198643,30556.65316318011
504,303377.55305337074,3.4914561558132347,29939.939934092497
505,413101.06534584693,1.4966810794916308,44216.991937078266
506,4743.271339749859,1.4786433206827354,-8027.355989437188
507,200310.56945982552,0.17297492494079592,14500.916137698605
508,76899.80044107916,2.983013719485998,10901.916210683117
509,491516.3178503636,3.3057490929966815,49776.08475364827
510,77911.50776420499,2.8674155701038213,10585.53158970381
511,247647.76650505592,1.1764292648428718,16550.126547153457
512,157013.13428870117,-0.30881791675314485,6312.207195013605
513,146567.0815648528,3.99649140731829,8076.359661618397
514,-52946.186798223236,0.7987842963670113,-2714.4615727133096
515,351808.98178608075,2.2204234663614253,15739.229808079312
516,290671.5863452924,4.007870824323221,28572.28444772165
517,249322.1857134146,1.7579345355433391,19787.5414363042
518,474493.14471172844,-0.4026605164813848,21896.57636028614
519,129044.82842963596,1.6268728237880499,21482.132432560546
520,149924.9986840024,0.5811489943154409,21257.31237833556
521,237273.5427219666,1.335573494033384,14912.261487978729
522,669871.2454780708,2.5958121439715347,70754.81646178142
523,110221.53356345318,3.9894238886330875,10950.741991570689
524,650498.1698821665,2.343601333327239,63151.99861907595
525,14939.04973884864,0.6415567762804386,-304.82235249673613
526,326153.7492148393,-0.7541653169766063,37269.282346583495
527,78262.65759457968,1.9413032911392927,2252.6067836325547
528,390152.5442322705,0.7422543786076874,28836.157832917554
529,686340.2564150516,2.0656433259014264,60589.910210055925
530,254079.14667838774,2.4335603405420265,23805.346258405913
531,394564.89121317235,1.4150447705912015,41460.571452507356
532,411019.1973722861,1.6181118597557207,35368.22640882181
533,334507.89231849194,1.166068464526469,38445.57131549578
