fold,seed_index,seed,start,end,strategy,target_count,status,total_trades,requested_trades,total_requested_notional,total_filled_notional,fill_rate,skipped_liquidity,skipped_capital,capital_capped_trades,liquidity_capped_trades,market_exposure_capped_trades,win_rate,total_net_profit,roi_pct,max_drawdown,sharpe,unique_markets,top_market_share,market_hhi,effective_markets,reason,profit_per_filled_notional,equal_capital_budget,equal_capital_supported,equal_capital_net_profit,equal_capital_roi
1,11,20011,2026-03-19T08:59:49,2026-03-20T04:57:17,baseline_random_wallets,20,ok,566,566,56600.0,47653.050190099995,0.8419266816551365,0,0,0,183,0,0.5070671378091873,406032.02444948733,8.520588351522465,0.10655593629137923,58.44205733895037,104,0.06295504669758274,0.02741612476858695,36.47488507003686,,8.520588353310513,378.90230540000005,True,3228.4705704337434,8.520588353310513
1,12,20012,2026-03-19T08:59:49,2026-03-20T04:57:17,baseline_random_wallets,20,ok,71,75,7500.0,4914.8401582,0.6553120202195839,4,0,0,40,0,0.8169014084507042,124292.4975880557,25.28922474269928,0.020020000000000072,47.87757833590171,40,0.10173270826840457,0.051185339781686046,19.536844031223897,,25.2892247941541,378.90230540000005,True,9582.14557628383,25.2892247941541
1,13,20013,2026-03-19T08:59:49,2026-03-20T04:57:17,baseline_random_wallets,20,ok,104,104,10400.0,8474.7374167,0.8148785969760782,0,0,0,42,0,0.8269230769230769,113806.31607572743,13.428889928456789,0.004045174177557099,19.45952754612248,63,0.07079865375152067,0.02953446556074796,33.85874709475105,,13.428889944302577,378.90230540000005,True,5088.2373588591245,13.428889944302577
1,14,20014,2026-03-19T08:59:49,2026-03-20T04:57:17,baseline_random_wallets,20,ok,24,29,2900.0,1607.4283325,0.5542856299852219,5,0,0,14,0,0.7083333333333334,28013.61761263087,17.427599645942458,0.010322477785519632,0.0,16,0.18663351512127213,0.09851512503312321,10.15072558314041,,17.427599754361598,378.90230540000005,True,6603.357724516084,17.427599754361598
1,15,20015,2026-03-19T08:59:49,2026-03-20T04:57:17,baseline_random_wallets,20,ok,126,126,12600.0,8973.9506661,0.7122183062680807,0,0,0,62,0,0.5079365079365079,19950.619127704438,2.2231701340679537,0.16501719147652663,242.5847063386809,60,0.08914691307832573,0.03600694485479965,27.772420127077297,,2.223170136545313,378.90230540000005,True,842.364290033452,2.223170136545313
1,16,20016,2026-03-19T08:59:49,2026-03-20T04:57:17,baseline_random_wallets,20,ok,69,71,7100.0,5148.813228599999,0.7251849607532606,2,0,0,31,0,0.5507246376811594,25679.747316526664,4.987508019131256,0.07275963522101969,13.249955601445906,45,0.0971097567149379,0.04397683940122361,22.73924214690554,,4.9875080288179685,378.90230540000005,True,1889.7782903201382,4.9875080288179685
1,17,20017,2026-03-19T08:59:49,2026-03-20T04:57:17,baseline_random_wallets,20,ok,33,39,3900.0,2927.7708483,0.7507104719981783,6,0,0,21,0,0.48484848484848486,-69.71933404487089,-0.02381311155113866,0.06680269650294057,-2.8482352756987415,16,0.1780154554454377,0.10384188866067154,9.63002515552988,,-0.02381311163247396,378.90230540000005,True,-9.022842896291943,-0.02381311163247396
1,18,20018,2026-03-19T08:59:49,2026-03-20T04:57:17,baseline_random_wallets,20,ok,20,21,2100.0,1418.7900581,0.6756143101637413,1,0,0,10,0,0.6,10163.999995203696,7.163850539787759,0.033855894388135854,12.998676312814808,16,0.21144777431112732,0.09679011817564011,10.331633216785114,,7.163850590280434,378.90230540000005,True,2714.3995041984076,7.163850590280434
1,19,20019,2026-03-19T08:59:49,2026-03-20T04:57:17,baseline_random_wallets,20,ok,42,42,4200.0,2272.8645925000005,0.541158235021052,0,0,0,34,0,0.7380952380952381,6890.875967028747,3.0318022285398083,0.02957778381041994,27.517502940619515,25,0.13649699569597215,0.07773995698707123,12.863397907028787,,3.0318022418789323,378.90230540000005,True,1148.756858964816,3.0318022418789323
2,0,30000,2026-03-20T04:57:19,2026-03-21T15:23:05,baseline_random_wallets,20,ok,35,36,3600.0,2456.1961104,0.6822766954381203,1,0,0,16,0,0.8285714285714286,3492.5060275338988,1.421916596368995,0.01153002977606375,13.784281748655815,30,0.1221400843074961,0.047534620833993485,21.03729834076785,,1.4219166021580956,547.387,True,778.3386631055134,1.4219166021580956
