fold,start,end,strategy,target_count,status,total_trades,requested_trades,total_requested_notional,total_filled_notional,fill_rate,skipped_liquidity,skipped_capital,capital_capped_trades,liquidity_capped_trades,market_exposure_capped_trades,win_rate,total_net_profit,roi_pct,max_drawdown,sharpe,unique_markets,top_market_share,market_hhi,effective_markets,reason,profit_per_filled_notional,equal_capital_budget,equal_capital_supported,equal_capital_net_profit,equal_capital_roi
3,2026-03-21T15:23:07,2026-03-25T02:47:33,baseline_top_volume,20,ok,1859,2012,201200.0,103490.7815068,0.5143677013004788,153,0,0,1294,0,0.6100053792361485,180650.37244652185,1.7455697000142594,0.07367453703865941,16.05684089859086,775,0.019325392763302182,0.005290675470086147,189.01178226751398,,1.7455697001829287,749.6914412000001,True,1308.6386642451919,1.7455697001829287
3,2026-03-21T15:23:07,2026-03-25T02:47:33,baseline_random_wallets,20,ok,96,99,9900.0,8886.552721600001,0.8976315871337056,3,0,0,13,0,0.7708333333333334,161254.85795970252,18.145940594747252,0.06359932983194733,15.13497456962816,52,0.1125295748900877,0.042795290743751,23.367057043443985,,18.1459406151668,749.6914412000001,True,13603.856371714015,18.1459406151668
4,2026-03-25T02:48:13,2026-03-29T10:24:44,model_top_k_20,20,ok,22,35,3500.0,429.3827699,0.12268079104948346,13,0,0,32,0,0.6818181818181818,-242.03354791973683,-0.5636778167398903,0.025291418587926905,-11.397887379370964,18,0.23289243772704069,0.17480514926924495,5.7206552792088665,,-0.5636778298675204,429.3827699,True,-242.03354791973686,-0.5636778298675204
4,2026-03-25T02:48:13,2026-03-29T10:24:44,model_top_pct_0.10,133,ok,249,293,29300.0,12157.5301,0.4149327677764735,44,0,0,200,0,0.7590361445783133,78974.07952927459,6.49589832924334,0.020353892191168874,19.752274977238184,190,0.032901419672405334,0.014080978582657739,71.0177914219406,,6.495898334586446,429.3827699,True,2789.2268198935253,6.495898334586446
4,2026-03-25T02:48:13,2026-03-29T10:24:44,baseline_top_volume,20,ok,698,799,79900.0,28628.445259023225,0.35830344499925143,90,11,0,586,13,0.6318051575931232,23826.548368476324,0.8322683311851836,0.11768861296654506,11.049731831466252,325,0.05264013685066676,0.0203470379551444,49.14720276260984,,0.8322683314758974,429.3827699,True,357.3616814691722,0.8322683314758974
4,2026-03-25T02:48:13,2026-03-29T10:24:44,baseline_random_wallets,20,ok,10,10,1000.0,805.4610615,0.8054610534453895,0,0,0,5,0,0.7,16570.104569742118,20.572197907570903,0.013582098027074063,16.09285279549633,10,0.1241524944902628,0.1107428001282196,9.029932409530783,,20.57219816297987,429.3827699,True,8833.34743015199,20.57219816297987
5,2026-03-29T10:25:18,2026-04-07T01:50:37,model_top_k_20,20,ok,124,145,14500.0,5169.378999431242,0.35650889626663124,21,0,0,116,0,0.7258064516129032,21744.474930713972,4.206399819212791,0.019944752321610474,10.897909049500296,105,0.05889306928169586,0.023712252377763525,42.172290682000465,,4.206399827349938,4965.157641753947,True,20885.43824703903,4.206399827349938
5,2026-03-29T10:25:18,2026-04-07T01:50:37,model_top_pct_0.10,133,ok,811,924,92400.0,49230.054407026786,0.5327927965551824,113,0,0,556,0,0.6732429099876696,248667.41861358815,5.051130281253226,0.0431214747365582,16.397500542156703,565,0.03656303088998982,0.006268459653427774,159.52882451004868,,5.051130282279252,4965.157641753947,True,25079.658120553602,5.051130282279252
5,2026-03-29T10:25:18,2026-04-07T01:50:37,baseline_top_volume,20,ok,1943,2221,222100.0,86647.16801496381,0.3901268258039737,247,31,0,1600,43,0.6181163149768399,28307.411576728686,0.32669748154461403,0.2064833097370981,17.60002383964645,799,0.04420764015663414,0.009203442580552005,108.65499417719211,,0.32669748158231837,4965.157641753947,True,1622.1044972202176,0.32669748158231837
5,2026-03-29T10:25:18,2026-04-07T01:50:37,baseline_random_wallets,20,ok,59,61,6100.0,4965.157641753947,0.8139602678056302,2,0,0,21,0,0.4745762711864407,37131.01088218863,7.478314584648095,0.03202424291657691,12.156866294718927,49,0.060421042320425646,0.026360360111426742,37.935748820309854,,7.47831459970968,4965.157641753947,True,37131.01088218863,7.47831459970968
