address,predicted_label,predicted_probability,actual_label
0x3ea11c7df66cf3d3e8f4f080265f5111df23d469,0,0.0,0
0x40ff30c7221baea03495979e29fd2ea64f999d91,0,0.0,0
0x41260738402302b170cc3a16c01164dcd9a00ca6,0,0.0,0
0x42a220c7a76779ba9c77b771ec372ab2447f2179,0,0.0,0
0x466d68e261a04eeb4581da84e65c2f0a4860cfc2,0,0.0,0
0x467fe62e8239e5ea21b8c7aa8c1b13146f3bad05,0,0.0,0
0x47cf17254941e5a96234bc3e0145c7b04cb6161f,0,0.0,0
0x2258557af39f5e0ce27250f768674b62fde1893c,0,0.0,0
0x2117ab28c7a9a5daa38cb4652a19d999303c0a1d,0,0.0,0
0x47e5b41024bb93a1a50834d8d367d90d2379fce4,0,0.0,0
0x0d60412d975dd5ed2c6cdc0503397e319127ee61,0,0.0,0
0x033b7a33f077b3e12745c554e1d26f5c46655e3f,0,0.0,0
0x05b5e1d6475496320dad6cb5a21c2ff18d0157f4,0,0.0,0
0x07d04ede3ef41e78760aad547aedf68376647ff6,0,0.0,0
0x08dfb33567d8efc3044d9ac8983d46f84c61e1f1,0,0.0,0
0x09a9cd4a1241ae11677842e54c95a4d4bc5dd7f5,0,0.0,0
0x0b2c5b33086870b9a3dc4588c6eb48894609dac5,0,0.0,0
0x0b60dfde39a9215569f25f1784a089fcaa5f5c4e,0,0.0,0
0x0c371c6c1935d5d3cfa87c178703948423811bd7,0,0.0,0
0x0d2abc6a067a2468117a95cfec1331e517842e2b,0,0.0,0
0x0f879bb40209c861add281124663345d1f5ab2ca,0,0.0,0
0x201d55288fc4528afca35d02648f22115bd730ca,0,0.0,0
0x116cfa9f67ca52b3127004cb006644b399c86acf,0,0.0,0
0x124a73f09f38910fe1f7638f22a0f223c3723741,0,0.0,0
0x12e2658494ba49f4f83867215e1c35af7b8a19df,0,0.0,0
0x165b0d82dcfb632134c9c01cdfe4c0945b31711c,0,0.0,0
0x182addd8096bbd0fc0f609a6e3887f67fe82f847,0,0.0,0
0x198b2cf93a77c4381c8604071cd2ac1ba6edcd1a,0,0.0,0
0x19e27eeb3641ae664e77dbb80c86021f048ece3c,0,0.0,0
0x1f5064182f7d459f8758204f24c77dc556399138,0,0.0,0
0x1fe4068b8aeb84eeaeeea728dd6eddb45eefafbb,0,0.0,0
0x47e3e73bb7d9b5842376a69b5bf025e488b4662e,0,0.0,0
0x4a893faa450907b74cd543d581d888afbd63c704,0,0.0,0
0x80fbccb5877ad664644f95ad012dd1fe1300f0bc,0,0.0,0
0x738e90ba8d8e0c0cae08c6419554346b5301dc37,0,0.0,0
0x6ce05e62f92a77895ac8609e54089cc18467b81e,0,0.0,0
0x6dedc49e534ea12b2ce689a1ba4114e7c4fe4f7e,0,0.0,0
0x6e459430813318d0f4c4364dce92f577e1eea8bc,0,0.0,0
0x6f2062f3a7a65dc4e48e7c55faccfb8cfe525a8d,0,0.0,0
0x6f2f6eac2acb7b51fbcf4c4748d642700e6f4178,0,0.0,0
0x6fcebea79e53c2a37762a88f137473505a661dbb,0,0.0,0
0x7003b9514a030187aca1c2c58f866d275b130cef,0,0.0,0
0x704e6e6a4560c1633505d4be6509ba388bc57fa0,0,0.0,0
0x723db13b76d5fe61cf84323aaa6cbf36fd4905d7,0,0.0,0
0x73edfe80f3dd74867bbf746484a5fcec6d054184,0,0.0,0
0x672874646032c605f9bb568bb7daa7367918a389,0,0.0,0
0x75d4b0f46de070cb03497186347355560e07fa02,0,0.0,0
0x76ef03781c3917095385a2b2039dccfe4f646559,0,0.0,0
0x79eb627ee4d163cb14f5868e772c150d53aad9a1,0,0.0,0
0x7a7a1e5ffdf7549c754b5617581a2130b98117c7,0,0.0,0
0x7bda07f36a6bf79b121cb126d357a519ef73c3ff,0,0.0,0
0x7c1bc4252e0363f41cdef193078f5e4b1fa1fa63,0,0.0,0
0x7c1c913e45c0dbd78925cd41c98cef2b6e3e9a74,0,0.0,0
0x7c2e85c55a6ecad322441946e6b7b4ed7de0a1c0,0,0.0,0
0x7d9a514f9da9e8aa7fa37306943c7d1720d805e6,0,0.0,0
0x6c2323b2392fabd5ec3f911cf15715c9ea63261e,0,0.0,0
0x66fca06dc63aa8453bdd45a14e6c380948892720,0,0.0,0
0x4bb34edf69ef1bc61bf1b6da794a78c30511b70f,0,0.0,0
0x548254ca3e01e6c33498be4ed54ae03cd45023cd,0,0.0,0
0x4d39c265c6e3f583bb9c4d651ab19becd921641c,0,0.0,0
0x4eda2774454554e14136069ad6238f8f36557cb4,0,0.0,0
0x4f13591c58ff673e5003d9e9c23939ec83764782,0,0.0,0
0x505342f85906cfbd09ea60a046cec8545fded738,0,0.0,0
0x5187ce3f9f3bcabbc2f9f382b6301b5c7949aa17,0,0.0,0
0x518df18949d940c40b7d23e088bc4b79f8b1612d,0,0.0,0
0x52aae03f0e175d70f3c60c33530033b2c227a3cf,0,0.0,0
0x53f2de101c3f43155e21133e5dd8a70e6dcfdefd,0,0.0,0
0x54744fb32c52b2ff8caaae2e29e096d70ed088fc,0,0.0,0
0x5554686f99af84319c3912a5a5607cd76c81fc3d,0,0.0,0
0x6691e6f5e3526039d3efab3634806e93e0110fd6,0,0.0,0
0x567413e35ab590047ae47ccb2e1f35bc3c10f922,0,0.0,0
0x595bb32c0055139c3347e2788933ef14e83e8b54,0,0.0,0
0x596354f89833b49513aff85e7d7f72bdd7f1dff1,0,0.0,0
0x5993523a009df783ebc5a0c5b3e16e020e2e0586,0,0.0,0
0x5b17dccddcf111b6a80d4b608352794c7d7728e8,0,0.0,0
0x5b8b7c3e53743510d312c9ff452f2f37ff0b70aa,0,0.0,0
0x5fa1a88fd1b6b8a297b8877e18a4ab07b99ef3f9,0,0.0,0
0x6316497da999cfa87862084df2192203bd79b4c9,0,0.0,0
0x65e4c55d0f85ad7977dd160f6c739c90796fbceb,0,0.0,0
0xffa5b689a6c636b3e774455bd6c73ee84886f57b,0,0.0,0
